%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
4.0, -168.90510169882327, -245.71516698878258, -45.656698659062386, -84.70686404639855, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860840297E9, 0.0, 2023-06-28 12:27:40.840
5.0, -72.38576364237815, -160.55016519781202, -34.10788759589195, -75.58524805447087, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608409576E9, 0.0, 2023-06-28 12:27:40.840
5.0, -143.75801439676434, -235.3294648118317, -201.63670611102134, -210.2328661591746, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608409576E9, 0.0, 2023-06-28 12:27:40.840
6.0, -180.48383196163923, -267.44772563129663, -91.27599831856787, -126.51894555101171, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608516624E9, 0.0, 2023-06-28 12:27:40.851
6.0, -75.72175440285355, -172.66370115429163, 3.3509503602981567, -42.41981524741277, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608516624E9, 0.0, 2023-06-28 12:27:40.851
7.0, -112.79912256356329, -215.9941820409149, -171.95312016271055, -181.4019774007611, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608524513E9, 0.0, 2023-06-28 12:27:40.852
7.0, -218.55601351056248, -290.04420116357505, -156.2193610491231, -173.9932355885394, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608524513E9, 0.0, 2023-06-28 12:27:40.852
8.0, -138.60817215777934, -210.52270840574056, -7.363863012753427, -59.552296944428235, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608668015E9, 0.0, 2023-06-28 12:27:40.866
8.0, -57.287787521258, -142.34059231355786, -93.74433228932321, -120.8155981185846, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608668015E9, 0.0, 2023-06-28 12:27:40.866
9.0, -156.97482084017247, -253.14260830078274, -184.8333356101066, -197.78647910663858, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860867417E9, 0.0, 2023-06-28 12:27:40.867
9.0, -154.2633933722973, -240.4867868507281, -37.13346666004509, -77.22332423506305, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.687922860867417E9, 0.0, 2023-06-28 12:27:40.867
10.0, -97.17008064873517, -158.31370502430946, -34.773589788004756, -69.25359742948785, -0.01600000075995922, -0.01600000075995922, 0.5120000243186951, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6879228608809893E9, 0.0, 2023-06-28 12:27:40.880
